sample	gene	n_cpgs	methylated_count	total_count	weighted_average
nb22	g225	51	0	792	0.0
nb22	g226	78	0	1153	0.0
nb22	g227	43	2	608	0.3289
nb22	g228	77	6	1275	0.4706
nb22	g230	1	0	23	0.0
nb22	g231	136	0	2622	0.0
nb22	g232	18	0	269	0.0
nb22	g233	6	0	81	0.0
nb22	g234	1	0	17	0.0
nb22	g235	30	0	553	0.0
nb22	g237	6	7	80	8.75
nb22	g238	19	59	431	13.6891
nb22	g240	32	2	387	0.5168
nb22	g243	10	0	132	0.0
nb22	g247	3	0	41	0.0
nb22	g248	43	0	555	0.0
nb22	g253	12	19	170	11.1765
nb22	g257	2	28	32	87.5
nb22	g258	6	0	88	0.0
nb22	g259	24	0	302	0.0
nb22	g263	2	11	22	50.0
nb22	g264	24	0	417	0.0
nb22	g267	24	11	692	1.5896
nb22	g269	8	0	105	0.0
nb22	g275	32	0	680	0.0
nb22	g277	21	1	620	0.1613
nb22	g280	46	0	706	0.0
nb22	g281	6	0	105	0.0
nb22	g282	29	150	455	32.967
nb22	g283	18	1	227	0.4405
nb22	g285	46	0	707	0.0
nb22	g286	11	0	203	0.0
nb22	g287	21	0	237	0.0
nb22	g288	24	0	496	0.0
nb22	g292	5	0	68	0.0
nb22	g293	31	0	516	0.0
nb22	g295	5	0	93	0.0
nb22	g296	10	0	135	0.0
nb22	g298	12	2	193	1.0363
nb22	g299	2	0	44	0.0
nb22	g303	75	2	1059	0.1889
nb22	g304	58	2	1144	0.1748
nb22	g305	48	0	843	0.0
nb22	g306	43	15	923	1.6251
nb22	g307	3	10	40	25.0
nb22	g311	1	0	17	0.0
nb22	g312	1	11	14	78.5714
nb22	g314	7	0	119	0.0
nb22	g315	24	0	441	0.0
nb22	g316	5	0	112	0.0
nb22	g323	6	52	91	57.1429
nb22	g324	1	0	14	0.0
nb22	g325	153	8	2823	0.2834
nb22	g326	1	0	12	0.0
nb22	g327	112	6	1773	0.3384
nb22	g329	11	0	176	0.0
nb22	g330	8	13	108	12.037
nb22	g331	2	0	20	0.0
nb22	g332	3	0	49	0.0
nb22	g333	3	27	114	23.6842
nb22	g335	85	29	2446	1.1856
nb22	g336	156	25	4733	0.5282
nb22	g337	9	0	252	0.0
nb22	g339	1	0	11	0.0
nb22	g340	14	144	275	52.3636
nb22	g341	17	0	245	0.0
nb22	g342	1	0	11	0.0
nb22	g343	9	1	103	0.9709
nb22	g344	6	0	86	0.0
nb22	g347	4	35	160	21.875
nb22	g351	32	0	483	0.0
nb22	g352	23	0	379	0.0
nb22	g353	6	0	87	0.0
nb22	g354	31	1	507	0.1972
nb22	g355	9	1	146	0.6849
nb22	g357	1	14	16	87.5
nb22	g358	12	0	232	0.0
nb22	g359	90	47	1531	3.0699
nb22	g361	4	40	46	86.9565
nb22	g362	36	95	509	18.664
nb22	g363	30	22	508	4.3307
nb22	g364	12	0	263	0.0
nb22	g366	52	43	974	4.4148
nb22	g368	3	0	43	0.0
nb22	g370	111	261	1681	15.5265
nb22	g377	37	19	3545	0.536
nb22	g378	18	50	1594	3.1368
nb22	g379	1	6	12	50.0
nb22	g381	36	377	870	43.3333
nb22	g388	24	1	355	0.2817
nb22	g389	30	1	414	0.2415
nb22	g390	18	0	364	0.0
nb22	g391	16	0	266	0.0
nb22	g392	2	2	28	7.1429
nb22	g393	23	0	615	0.0
nb22	g397	10	0	174	0.0
nb22	g398	82	0	1213	0.0
nb22	g399	50	2	820	0.2439
nb22	g400	59	0	924	0.0
nb22	g403	44	9	683	1.3177
nb22	g404	7	107	122	87.7049
nb22	g406	35	0	634	0.0
nb22	g407	4	0	58	0.0
nb22	g408	4	12	51	23.5294
nb22	g413	54	0	1145	0.0
nb22	g414	46	0	1018	0.0
nb22	g416	25	0	364	0.0
nb22	g417	15	0	397	0.0
nb22	g419	37	51	530	9.6226
nb22	g421	18	17	571	2.9772
nb22	g422	17	106	1037	10.2218
nb22	g425	34	0	481	0.0
nb22	g426	9	0	145	0.0
nb22	g428	104	3	2153	0.1393
nb22	g430	5	0	63	0.0
nb22	g433	31	0	473	0.0
nb22	g439	1	0	16	0.0
nb22	g445	3	0	45	0.0
nb22	g446	54	0	930	0.0
nb22	g447	88	0	1484	0.0
nb22	g449	9	0	234	0.0
nb22	g450	41	1411	2136	66.0581
nb22	g459	2	19	24	79.1667
nb22	g466	35	369	2157	17.1071
nb22	g468	25	1	338	0.2959
nb22	g469	6	38	134	28.3582
nb22	g472	1	0	12	0.0
nb22	g473	65	189	1365	13.8462
nb22	g480	47	0	827	0.0
nb22	g483	51	1	755	0.1325
nb22	g486	8	0	140	0.0
nb22	g488	2	0	20	0.0
nb22	g489	13	68	206	33.0097
nb22	g491	39	1	571	0.1751
nb22	g493	63	5	905	0.5525
nb22	g495	5	0	64	0.0
nb22	g502	97	12	1737	0.6908
nb22	g505	11	2	1680	0.119
nb22	g507	22	5	520	0.9615
nb22	g512	17	0	228	0.0
nb22	g513	31	0	501	0.0
nb22	g522	47	81	2069	3.9149
nb22	g524	83	0	2087	0.0
nb22	g525	1	0	33	0.0
nb22	g526	6	0	91	0.0
nb22	g527	12	0	160	0.0
nb22	g528	15	0	187	0.0
nb22	g529	56	0	709	0.0
nb22	g530	1	0	16	0.0
nb22	g531	60	1	1086	0.0921
nb22	g532	55	0	761	0.0
nb22	g533	79	0	1285	0.0
nb22	g534	2	0	26	0.0
nb22	g535	16	2	451	0.4435
nb22	g536	17	0	446	0.0
nb22	g539	16	5	828	0.6039
nb22	g540	14	1	461	0.2169
nb22	g548	69	0	864	0.0
nb22	g552	9	17	157	10.828
nb22	g556	34	10	465	2.1505
nb22	g557	67	3	993	0.3021
nb22	g558	10	0	138	0.0
nb22	g559	2	0	22	0.0
nb22	g560	27	0	573	0.0
nb22	g566	20	71	1214	5.8484
nb22	g567	101	0	1605	0.0
nb22	g569	35	0	720	0.0
nb22	g570	7	0	75	0.0
nb22	g571	9	44	576	7.6389
nb22	g573	8	1	208	0.4808
nb22	g575	5	0	82	0.0
nb22	g576	18	0	252	0.0
nb22	g577	1	12	15	80.0
nb22	g578	2	0	21	0.0
nb22	g582	7	0	88	0.0
nb22	g583	81	0	1168	0.0
nb22	g584	43	1	606	0.165
nb22	g585	3	1	38	2.6316
nb22	g586	50	1	805	0.1242
nb22	g587	6	1	129	0.7752
nb22	g595	252	10	9173	0.109
nb22	g598	58	661	2754	24.0015
nb22	g602	21	2	320	0.625
nb22	g603	6	0	105	0.0
nb22	g610	11	56	141	39.7163
nb22	g611	52	318	994	31.992
nb22	g612	8	48	115	41.7391
nb22	g614	99	0	1972	0.0
nb22	g615	52	0	799	0.0
nb22	g618	175	6	4404	0.1362
nb22	g619	11	0	172	0.0
nb22	g620	2	1	21	4.7619
nb22	g621	15	0	219	0.0
nb22	g622	50	8	1651	0.4846
nb22	g623	61	0	1891	0.0
nb22	g625	4	0	46	0.0
nb22	g626	58	7	994	0.7042
nb22	g627	88	2	1292	0.1548
nb22	g628	109	13	2314	0.5618
nb22	g629	1	0	19	0.0
nb22	g632	30	0	385	0.0
